Product ID,Product Name,Product Category,Product Description,Price,Stock Quantity,Warranty Period,Product Dimensions,Manufacturing Date,Expiration Date,SKU,Product Tags,Color/Size Variations,Product Ratings
F74T12YP,Laptop,Home Appliances,Product_H05SJ,96.79,33,1,9x12x12 cm,15-03-2023,01-01-2026,LQFUVQ,"IC4,EQZ",Blue/Medium,5
K00S1F8I,Smartphone,Clothing,Product_UB2MN,38.8,90,2,17x7x14 cm,01-01-2023,01-01-2026,6E1BTL,"7RZ,PIO",Red/Small,3
S7UNFYW6,Laptop,Clothing,Product_CU009,92.72,67,2,18x7x15 cm,30-07-2023,01-01-2025,RFBELO,"I9V,ND2",Green/Large,2
QBIV34F0,Laptop,Home Appliances,Product_J46TA,75.45,24,1,6x11x20 cm,01-01-2023,01-01-2025,0ZI35L,"DV0,R6F",Green/Large,5
W8DC91FT,Smartphone,Clothing,Product_U8G3R,43.24,14,2,9x10x10 cm,15-03-2023,01-01-2025,PJ1RRH,"UFU,9T9",Green/Large,2
GK9VKKPL,Laptop,Electronics,Product_IOI0R,478.35,13,1,15x17x18 cm,01-01-2023,01-01-2026,KKZX4R,"H8H,NG4",Red/Small,4
R4Q2AS3J,Monitor,Electronics,Product_WMM8V,466.07,79,1,14x20x12 cm,15-03-2023,01-01-2024,LUN2M2,"2ZD,LGD",Blue/Medium,2
I0KPEGFC,Smartphone,Electronics,Product_L2FC4,428.37,18,1,10x12x5 cm,01-01-2023,01-01-2024,825J98,"ABS,LTN",Blue/Medium,1
DT1MYYJ3,Smartphone,Clothing,Product_F4ITS,182.02,36,3,12x17x12 cm,30-07-2023,01-01-2026,PA3F5F,"GAM,UG1",Blue/Medium,4
W17KQ498,Headphones,Home Appliances,Product_M0HQH,254.97,23,1,7x10x14 cm,01-01-2023,01-01-2026,ER16Y0,"9AE,K1V",Blue/Medium,4
7JSDX2HW,Monitor,Electronics,Product_IVZO6,143.23,87,3,17x13x7 cm,15-03-2023,01-01-2024,LXRCLV,"64E,VOH",Red/Small,1
Q09WY8SS,Smartphone,Clothing,Product_9FCSK,477.46,42,1,9x19x6 cm,30-07-2023,01-01-2025,WKDIX4,"D94,GIR",Red/Small,2
LSYZWNV1,Laptop,Home Appliances,Product_FPM4C,152.6,54,2,15x12x8 cm,30-07-2023,01-01-2025,AMKVV6,"SZK,3G0",Green/Large,2
IZMJNBY1,Headphones,Clothing,Product_09B87,190.05,64,1,14x11x11 cm,30-07-2023,01-01-2025,RAVIL4,"MIH,D78",Green/Large,3
V3OFNIAM,Headphones,Electronics,Product_R58J2,362.37,51,3,11x5x19 cm,01-01-2023,01-01-2024,0QVEHG,"BR1,051",Blue/Medium,1
AXCQYHW3,Smartphone,Home Appliances,Product_7KPHY,494.22,62,2,19x17x9 cm,01-01-2023,01-01-2026,FYVW68,"I21,DKZ",Green/Large,5
BUDV9DHR,Laptop,Clothing,Product_N4RO7,477.15,33,3,15x13x10 cm,30-07-2023,01-01-2026,PWKCWU,"4SP,SUT",Blue/Medium,5
EHE8ZHCB,Laptop,Clothing,Product_JTDY9,293.41,80,1,8x11x9 cm,30-07-2023,01-01-2024,IMULMC,"TWY,BJV",Red/Small,3
06WPO39Z,Monitor,Home Appliances,Product_FXQBM,370,14,3,6x15x19 cm,30-07-2023,01-01-2025,M2OZZY,"FKD,3UG",Green/Large,3
BOGYTN8M,Laptop,Electronics,Product_WYP18,271.28,52,2,9x16x9 cm,15-03-2023,01-01-2024,PZ2ZPW,"WJK,HTX",Red/Small,1
DONWASYL,Laptop,Clothing,Product_Y2XKM,226.21,44,1,16x10x18 cm,01-01-2023,01-01-2026,0539SW,"STF,OU3",Green/Large,3
PHN0LR8K,Smartphone,Electronics,Product_L0W2M,245.28,73,2,16x12x11 cm,30-07-2023,01-01-2024,P8LAAX,"PPJ,XF6",Red/Small,2
6EDWXPUA,Headphones,Electronics,Product_SY9P9,106.63,55,3,6x15x19 cm,01-01-2023,01-01-2025,7D7PIT,"7DG,EM5",Green/Large,3
FUBGKH6Q,Laptop,Clothing,Product_TPPJZ,61.33,91,2,5x8x15 cm,01-01-2023,01-01-2024,5SEWKP,"SLF,7YN",Blue/Medium,1
J68HEIEV,Monitor,Clothing,Product_TC190,70.02,84,3,19x12x11 cm,15-03-2023,01-01-2026,BA55IW,"AK6,3FM",Blue/Medium,5
01YGUTS8,Laptop,Home Appliances,Product_GQSZR,168.19,69,2,10x7x12 cm,30-07-2023,01-01-2025,TSQ8GF,"N2U,ID5",Green/Large,1
LGNV1J3R,Monitor,Clothing,Product_43P0S,246.07,48,1,7x11x10 cm,15-03-2023,01-01-2025,FOVXM3,"PCA,2Y9",Blue/Medium,3
PWTW4RM0,Laptop,Electronics,Product_RDG4D,103.55,73,1,11x10x15 cm,15-03-2023,01-01-2025,62DCJC,"64A,64H",Green/Large,4
M1MCFEOG,Smartphone,Clothing,Product_2BWIG,38.38,84,3,10x16x11 cm,01-01-2023,01-01-2024,GGO677,"N14,OZT",Blue/Medium,1
TAACS0TL,Headphones,Home Appliances,Product_HL8BO,398.14,28,1,10x8x20 cm,01-01-2023,01-01-2025,EJQZLN,"V74,CPR",Red/Small,1
M4EU2D6Y,Laptop,Electronics,Product_WIML9,388.7,6,2,7x6x6 cm,15-03-2023,01-01-2024,TIEDK3,"2WF,41P",Green/Large,2
776UQXI4,Smartphone,Electronics,Product_0IA6O,305.46,47,3,5x13x15 cm,15-03-2023,01-01-2025,MDVEA7,"XPI,2CJ",Green/Large,2
